vertices,cubes,threads,frame,updateVBO
2000000,250000,1,48.6082,25.4633
2000000,250000,1,139.781,103.62
2000000,250000,1,31.2038,21.164
2000000,250000,1,116.995,101.279
2000000,250000,1,149.093,134.221
2000000,250000,1,121.83,93.9005
2000000,250000,1,143.506,116.753
2000000,250000,1,136.19,106.255
2000000,250000,1,166.414,136.316
2000000,250000,1,133.456,105.803
2000000,250000,1,132.744,105.192
2000000,250000,1,133.778,101.143
2000000,250000,1,163.169,139.181
2000000,250000,1,84.0592,68.2471
2000000,250000,1,81.6402,70.3821
2000000,250000,1,86.8434,61.1929
2000000,250000,1,82.1228,61.535
2000000,250000,1,85.7953,63.0608
2000000,250000,1,79.429,66.7176
2000000,250000,1,82.5672,63.7462
2000000,250000,1,67.2389,55.8248
2000000,250000,1,82.4824,62.1583
2000000,250000,1,66.3735,58.658
2000000,250000,1,88.253,59.6443
2000000,250000,1,79.2709,58.5139
2000000,250000,1,87.0906,59.0657
2000000,250000,1,78.0792,58.583
2000000,250000,1,66.9299,58.3608
2000000,250000,1,66.2529,57.7154
2000000,250000,1,66.8671,58.9589
2000000,250000,1,84.2015,60.3394
2000000,250000,1,83.7584,56.6476
2000000,250000,1,84.3589,58.2176
2000000,250000,1,64.31,55.9954
2000000,250000,1,85.5573,57.1591
2000000,250000,1,82.1806,64.1544
2000000,250000,1,82.1303,57.6726
2000000,250000,1,66.3832,56.9288
2000000,250000,1,66.3066,58.9184
2000000,250000,1,66.9738,56.5293
2000000,250000,1,66.0812,57.3622
2000000,250000,1,66.8558,58.0367
2000000,250000,1,83.7774,60.138
2000000,250000,1,66.3531,56.4195
2000000,250000,1,86.5839,57.1926
2000000,250000,1,81.3638,64.2017
2000000,250000,1,82.8958,57.5715
2000000,250000,1,64.9572,56.406
2000000,250000,1,66.336,57.9024
2000000,250000,1,66.6182,57.3335
2000000,250000,1,66.959,56.9524
2000000,250000,1,66.137,57.1582
2000000,250000,1,86.1892,60.6495
2000000,250000,1,64.917,55.5947
2000000,250000,1,65.5577,56.2039
2000000,250000,1,66.4604,55.792
2000000,250000,1,70.6681,56.5039
2000000,250000,1,80.2881,62.8376
2000000,250000,1,65.5399,57.2057
2000000,250000,1,66.2949,57.1834
2000000,250000,1,66.8185,59.1451
2000000,250000,1,66.6908,58.3887
2000000,250000,1,66.9955,55.9928
2000000,250000,1,65.7306,56.5199
2000000,250000,1,66.5857,58.7472
2000000,250000,1,87.9538,62.8604
2000000,250000,1,80.7856,56.9676
2000000,250000,1,64.5612,57.5319
2000000,250000,1,88.0584,59.5352
2000000,250000,1,82.319,55.7149
2000000,250000,1,81.6452,60.1545
2000000,250000,1,81.3367,56.5215
2000000,250000,1,85.0405,58.6133
2000000,250000,1,84.7942,58.0806
2000000,250000,1,81.9627,61.2453
2000000,250000,1,84.9837,57.4917
2000000,250000,1,79.9836,60.2805
2000000,250000,1,67.6004,57.3029
2000000,250000,1,82.1751,67.8482
2000000,250000,1,65.2589,57.3699
2000000,250000,1,66.2997,59.2102
2000000,250000,1,66.7785,57.4859
2000000,250000,1,66.79,60.1811
2000000,250000,1,66.8669,58.1414
2000000,250000,1,66.5348,58.9108
2000000,250000,1,88.7359,61.972
2000000,250000,1,78.8484,63.7829
2000000,250000,1,83.5141,60.7157
2000000,250000,1,66.3717,55.9954
2000000,250000,1,82.0127,59.4023
2000000,250000,1,66.295,56.5763
2000000,250000,1,66.3982,58.3068
2000000,250000,1,67.0733,58.4652
2000000,250000,1,66.4273,59.3216
2000000,250000,1,66.3619,56.3869
2000000,250000,1,66.7139,58.3397
2000000,250000,1,66.588,57.7572
2000000,250000,1,66.4992,59.8188
2000000,250000,1,67.0001,59.247
2000000,250000,1,65.7565,58.6484
2000000,250000,1,67.5255,58.8376
2000000,250000,1,66.1281,59.6452
2000000,250000,1,67.0043,56.7403
2000000,250000,1,66.1883,58.8497
2000000,250000,1,67.0071,59.2551
2000000,250000,1,66.2772,57.5718
2000000,250000,1,66.8049,56.3869
2000000,250000,1,66.175,56.656
2000000,250000,1,66.947,57.5974
2000000,250000,1,66.577,58.4155
2000000,250000,1,66.7015,56.1515
2000000,250000,1,66.6996,57.4183
2000000,250000,1,84.6251,59.7099
2000000,250000,1,66.4573,55.1123
2000000,250000,1,66.6823,55.781
2000000,250000,1,66.7207,55.783
2000000,250000,1,65.9979,55.8621
2000000,250000,1,67.2202,56.5433
2000000,250000,1,82.0815,58.5437
2000000,250000,1,86.7785,61.3927
2000000,250000,1,79.8092,67.63
2000000,250000,1,84.306,67.7873
2000000,250000,1,81.7559,64.375
2000000,250000,1,83.3116,71.8674
2000000,250000,1,83.8279,65.7844
2000000,250000,1,84.6912,66.5296
2000000,250000,1,82.3156,63.9941
2000000,250000,1,84.7469,59.2613
2000000,250000,1,80.4844,64.6674
2000000,250000,1,87.0276,67.5754
2000000,250000,1,97.6036,71.3496
2000000,250000,1,100.412,78.9051
2000000,250000,1,81.782,65.4313
2000000,250000,1,102.419,75.0461
2000000,250000,1,115.689,98.4041
2000000,250000,1,81.9304,68.1621
2000000,250000,1,98.47,90.6085
2000000,250000,1,87.0446,62.9829
2000000,250000,1,80.5451,63.2505
2000000,250000,1,85.5526,60.3608
2000000,250000,1,65.8737,55.6235
2000000,250000,1,66.2191,55.8765
2000000,250000,1,67.3439,55.4297
2000000,250000,1,80.6682,62.2238
2000000,250000,1,65.5338,56.9678
2000000,250000,1,66.5065,59.5737
2000000,250000,1,66.4789,58.3993
2000000,250000,1,85.683,63.0133
2000000,250000,1,83.0889,58.8625
2000000,250000,1,87.1522,59.2119
2000000,250000,1,78.578,65.1596
2000000,250000,1,84.3256,61.5796
2000000,250000,1,81.5092,59.6674
2000000,250000,1,65.9902,57.2142
2000000,250000,1,66.7078,57.1326
2000000,250000,1,66.7186,58.6503
2000000,250000,1,66.4697,57.9001
2000000,250000,1,66.5894,57.2423
2000000,250000,1,66.605,57.0338
2000000,250000,1,66.7583,56.6446
2000000,250000,1,66.7076,57.4377
2000000,250000,1,66.1669,57.7194
2000000,250000,1,66.5346,59.5311
