vertices,cubes,threads,frame,updateVBO
2000000,250000,1,25.316,14.9748
2000000,250000,1,102.249,59.22
2000000,250000,1,25.8842,17.1211
2000000,250000,1,66.7001,61.6609
2000000,250000,1,69.7066,64.9966
2000000,250000,1,63.2946,58.8064
2000000,250000,1,59.6999,54.9247
2000000,250000,1,59.5812,54.9948
2000000,250000,1,60.097,55.5529
2000000,250000,1,56.989,52.5724
2000000,250000,1,58.3441,53.7428
2000000,250000,1,57.3052,52.8483
2000000,250000,1,58.9334,54.4301
2000000,250000,1,61.1641,56.5473
2000000,250000,1,58.097,53.4432
2000000,250000,1,57.1698,52.7271
2000000,250000,1,57.466,53.065
2000000,250000,1,58.6255,54.2447
2000000,250000,1,58.0938,53.6176
2000000,250000,1,57.4455,52.8223
2000000,250000,1,65.0062,59.7127
2000000,250000,1,67.6066,61.8985
2000000,250000,1,64.19,59.8081
2000000,250000,1,58.779,54.2559
2000000,250000,1,57.6967,53.1724
2000000,250000,1,59.0016,54.5618
2000000,250000,1,57.7198,53.1374
2000000,250000,1,57.4519,53.0266
2000000,250000,1,58.1368,53.7236
2000000,250000,1,59.1771,53.5589
2000000,250000,1,61.1965,56.2806
2000000,250000,1,57.8241,53.175
2000000,250000,1,57.881,53.0392
2000000,250000,1,58.6129,53.6758
2000000,250000,1,59.6687,55.0301
2000000,250000,1,57.9824,53.1091
2000000,250000,1,57.8943,52.951
2000000,250000,1,58.3106,53.4616
2000000,250000,1,65.6758,56.4168
2000000,250000,1,82.6013,77.6794
2000000,250000,1,75.9717,69.2332
2000000,250000,1,70.5452,65.8105
2000000,250000,1,66.8171,62.085
2000000,250000,1,76.006,61.5189
2000000,250000,1,82.131,59.9123
2000000,250000,1,93.1744,60.214
2000000,250000,1,78.9,22.7734
2000000,250000,1,37.7414,20.3316
2000000,250000,1,152.314,130.204
2000000,250000,1,90.407,85.6344
2000000,250000,1,69.1004,64.1329
2000000,250000,1,72.9338,65.0894
2000000,250000,1,68.7896,61.8375
2000000,250000,1,68.3176,63.593
2000000,250000,1,73.1233,63.0817
2000000,250000,1,20.4033,19.2073
2000000,250000,1,60.3179,55.9763
2000000,250000,1,59.7023,54.4173
2000000,250000,1,58.9364,54.2727
2000000,250000,1,58.272,53.733
2000000,250000,1,59.2403,54.7054
2000000,250000,1,62.8922,58.2795
2000000,250000,1,63.0026,58.3378
2000000,250000,1,58.1042,53.2448
2000000,250000,1,60.6483,55.6379
2000000,250000,1,60.5962,55.8503
2000000,250000,1,57.5636,53.2061
2000000,250000,1,59.0933,54.5121
2000000,250000,1,61.4457,56.0019
2000000,250000,1,58.5742,54.1138
2000000,250000,1,59.1451,54.535
2000000,250000,1,58.9988,54.0001
2000000,250000,1,61.2799,56.2964
2000000,250000,1,66.628,61.2432
2000000,250000,1,60.7398,56.0526
2000000,250000,1,60.2194,54.6541
2000000,250000,1,63.6639,58.5355
2000000,250000,1,59.4512,55.0492
2000000,250000,1,59.1148,53.9482
2000000,250000,1,59.9334,55.4843
2000000,250000,1,56.8049,52.2444
2000000,250000,1,59.893,55.2936
2000000,250000,1,59.6108,54.8996
2000000,250000,1,58.0403,53.4926
2000000,250000,1,59.1861,54.4869
2000000,250000,1,65.294,60.3858
2000000,250000,1,60.0631,55.2718
2000000,250000,1,62.531,58.0223
2000000,250000,1,60.2749,55.017
2000000,250000,1,59.3408,54.89
2000000,250000,1,57.5728,52.946
2000000,250000,1,58.681,54.1303
2000000,250000,1,57.3304,52.776
2000000,250000,1,60.3708,55.6572
2000000,250000,1,58.813,53.9521
2000000,250000,1,57.8298,53.416
2000000,250000,1,58.34,53.7752
2000000,250000,1,59.032,54.5148
2000000,250000,1,61.9669,57.4696
2000000,250000,1,57.6583,53.1346
2000000,250000,1,58.361,53.7643
2000000,250000,1,57.3431,52.9566
2000000,250000,1,61.5519,57.0614
2000000,250000,1,58.2697,53.6995
2000000,250000,1,57.5478,53.1149
2000000,250000,1,58.4124,53.6626
2000000,250000,1,60.0049,55.4984
2000000,250000,1,57.3794,53.0085
2000000,250000,1,58.9864,54.5941
2000000,250000,1,58.5141,54.1701
2000000,250000,1,60.0773,55.7216
2000000,250000,1,58.5212,53.9953
2000000,250000,1,58.0923,53.4554
2000000,250000,1,58.1779,53.7149
2000000,250000,1,60.993,56.1178
2000000,250000,1,62.4387,57.9278
2000000,250000,1,59.5475,54.5575
2000000,250000,1,60.1543,55.4343
2000000,250000,1,62.8085,57.8004
2000000,250000,1,62.307,57.502
2000000,250000,1,59.4267,54.1542
2000000,250000,1,58.395,53.7764
2000000,250000,1,58.7233,53.7863
2000000,250000,1,61.3973,56.1557
2000000,250000,1,58.5641,53.6116
2000000,250000,1,58.9374,53.92
2000000,250000,1,58.6336,53.3517
2000000,250000,1,60.3584,55.6653
2000000,250000,1,58.3455,53.469
2000000,250000,1,59.8531,54.5548
2000000,250000,1,59.0166,54.3796
2000000,250000,1,62.3085,57.5521
2000000,250000,1,58.5837,53.8468
2000000,250000,1,57.8382,53.1416
2000000,250000,1,57.4903,52.799
2000000,250000,1,59.2108,54.4541
2000000,250000,1,62.7304,58.0739
2000000,250000,1,58.4301,53.4351
2000000,250000,1,58.1815,53.5829
2000000,250000,1,58.517,53.635
2000000,250000,1,60.377,55.5627
2000000,250000,1,58.011,53.3871
2000000,250000,1,57.8749,52.9489
2000000,250000,1,58.8832,54.2787
2000000,250000,1,60.2737,55.5702
2000000,250000,1,58.3913,53.7459
2000000,250000,1,58.3507,53.1357
2000000,250000,1,58.1181,53.6272
2000000,250000,1,61.4561,56.6322
2000000,250000,1,57.8633,53.1587
2000000,250000,1,60.3574,55.7123
2000000,250000,1,87.0374,78.4284
2000000,250000,1,72.3089,67.6796
2000000,250000,1,68.6137,64.1526
2000000,250000,1,67.9417,63.3405
2000000,250000,1,80.5398,61.7933
2000000,250000,1,84.1619,62.1746
2000000,250000,1,82.9708,62.9261
2000000,250000,1,82.5634,73.5413
2000000,250000,1,81.2372,73.868
2000000,250000,1,85.5974,69.6256
2000000,250000,1,81.6297,67.883
2000000,250000,1,107.12,77.8709
2000000,250000,1,75.6632,61.4865
2000000,250000,1,65.9579,55.7933
2000000,250000,1,84.6644,64.9057
2000000,250000,1,64.8571,58.6759
2000000,250000,1,67.4597,57.1774
2000000,250000,1,83.1214,61.7814
2000000,250000,1,67.2975,57.6393
2000000,250000,1,65.9841,57.4692
2000000,250000,1,65.9205,57.3554
2000000,250000,1,66.5533,58.2019
2000000,250000,1,67.7068,56.3847
2000000,250000,1,65.5663,56.9083
2000000,250000,1,66.4475,58.3634
2000000,250000,1,66.5963,58.1849
2000000,250000,1,66.4142,57.0711
2000000,250000,1,66.5659,59.0025
2000000,250000,1,87.4767,59.3638
2000000,250000,1,82.355,56.6805
2000000,250000,1,83.8563,59.4471
2000000,250000,1,81.366,61.0804
2000000,250000,1,64.2903,56.3776
2000000,250000,1,68.0747,56.9221
2000000,250000,1,65.0075,57.1607
2000000,250000,1,66.0339,60.2092
2000000,250000,1,67.0974,59.5728
2000000,250000,1,67.0049,56.425
2000000,250000,1,66.1368,56.8324
2000000,250000,1,66.4697,58.2881
2000000,250000,1,67.7683,55.7057
2000000,250000,1,65.2543,57.5332
2000000,250000,1,66.8431,57.6603
2000000,250000,1,66.643,57.5523
2000000,250000,1,66.5836,57.3036
2000000,250000,1,67.5112,55.2542
2000000,250000,1,81.8071,60.2102
2000000,250000,1,66.8783,58.1301
2000000,250000,1,66.2945,58.3495
2000000,250000,1,83.7105,65.1702
2000000,250000,1,83.4884,71.7576
2000000,250000,1,85.9949,63.6771
2000000,250000,1,83.5149,57.7081
2000000,250000,1,81.0836,60.9717
2000000,250000,1,65.2395,55.6949
2000000,250000,1,67.3416,53.3425
2000000,250000,1,65.6408,52.5783
2000000,250000,1,68.4382,52.7721
2000000,250000,1,65.3238,53.241
2000000,250000,1,67.9813,53.1126
2000000,250000,1,64.4838,54.9751
2000000,250000,1,68.5267,53.1178
2000000,250000,1,64.4089,55.0288
2000000,250000,1,67.1557,53.3943
2000000,250000,1,67.0006,53.9433
2000000,250000,1,65.3677,54.8203
2000000,250000,1,68.7992,53.4547
2000000,250000,1,63.8013,53.7529
2000000,250000,1,66.9512,52.7654
2000000,250000,1,66.213,53.8276
2000000,250000,1,67.3541,53.0234
2000000,250000,1,66.1744,52.5658
2000000,250000,1,68.3785,52.1194
2000000,250000,1,64.5548,53.1933
2000000,250000,1,68.7146,53.187
2000000,250000,1,65.3476,53.5752
2000000,250000,1,66.4028,53.2982
2000000,250000,1,66.6495,53.7514
2000000,250000,1,67.783,53.2609
2000000,250000,1,64.7065,53.2719
2000000,250000,1,67.5539,55.068
2000000,250000,1,66.2689,52.9932
2000000,250000,1,66.5989,53.5066
2000000,250000,1,66.5496,54.1133
2000000,250000,1,66.6483,55.1031
