vertices,cubes,threads,frame,updateVBO
2000000,250000,1,11.2917,0
2000000,250000,1,11.546,0
2000000,250000,1,11.711,0
2000000,250000,1,10.4714,0
2000000,250000,1,7.49019,0
2000000,250000,1,7.01346,0
2000000,250000,1,7.43088,0
2000000,250000,1,8.53406,0
2000000,250000,1,8.27239,0
2000000,250000,1,14.7913,0
2000000,250000,1,8.55649,0
2000000,250000,1,7.21762,0
2000000,250000,1,9.14166,0
2000000,250000,1,7.69945,0
2000000,250000,1,9.39419,0
2000000,250000,1,7.64785,0
2000000,250000,1,12.5233,0
2000000,250000,1,15.5288,0
2000000,250000,1,16.5174,0
2000000,250000,1,15.7863,0
2000000,250000,1,17.1414,0
2000000,250000,1,16.2099,0
2000000,250000,1,16.4307,0
2000000,250000,1,15.7531,0
2000000,250000,1,16.8962,0
2000000,250000,1,16.5867,0
2000000,250000,1,15.9717,0
2000000,250000,1,14.6087,0
2000000,250000,1,14.9039,0
2000000,250000,1,16.2329,0
2000000,250000,1,16.2832,0
2000000,250000,1,16.1658,0
2000000,250000,1,16.5697,0
2000000,250000,1,16.4788,0
2000000,250000,1,16.416,0
2000000,250000,1,16.1802,0
2000000,250000,1,16.4004,0
2000000,250000,1,16.714,0
2000000,250000,1,16.3519,0
2000000,250000,1,16.3456,0
2000000,250000,1,16.3459,0
2000000,250000,1,16.5127,0
2000000,250000,1,16.263,0
2000000,250000,1,16.144,0
2000000,250000,1,16.3072,0
2000000,250000,1,16.3299,0
2000000,250000,1,16.5697,0
2000000,250000,1,16.1725,0
2000000,250000,1,15.9001,0
2000000,250000,1,16.9576,0
2000000,250000,1,16.3103,0
2000000,250000,1,16.5329,0
2000000,250000,1,16.1988,0
2000000,250000,1,16.3274,0
2000000,250000,1,16.4842,0
2000000,250000,1,16.558,0
2000000,250000,1,16.2499,0
2000000,250000,1,16.081,0
2000000,250000,1,16.491,0
2000000,250000,1,16.3771,0
2000000,250000,1,16.4661,0
2000000,250000,1,16.4249,0
2000000,250000,1,16.338,0
2000000,250000,1,16.335,0
2000000,250000,1,16.5732,0
2000000,250000,1,16.481,0
2000000,250000,1,16.3794,0
2000000,250000,1,16.3191,0
2000000,250000,1,16.3376,0
2000000,250000,1,16.5158,0
2000000,250000,1,16.143,0
2000000,250000,1,16.4822,0
2000000,250000,1,16.2737,0
2000000,250000,1,16.2261,0
2000000,250000,1,16.5329,0
2000000,250000,1,16.3709,0
2000000,250000,1,16.3862,0
2000000,250000,1,16.3796,0
2000000,250000,1,16.3604,0
2000000,250000,1,16.3459,0
2000000,250000,1,16.4219,0
2000000,250000,1,16.471,0
2000000,250000,1,16.3341,0
2000000,250000,1,16.3792,0
2000000,250000,1,16.4372,0
2000000,250000,1,16.4172,0
2000000,250000,1,16.4622,0
2000000,250000,1,16.2992,0
2000000,250000,1,16.6254,0
2000000,250000,1,16.2361,0
2000000,250000,1,16.4142,0
2000000,250000,1,16.5516,0
2000000,250000,1,16.2617,0
2000000,250000,1,16.5965,0
2000000,250000,1,16.4169,0
2000000,250000,1,16.4652,0
2000000,250000,1,16.3575,0
2000000,250000,1,16.5758,0
2000000,250000,1,16.6504,0
2000000,250000,1,16.3611,0
2000000,250000,1,16.4613,0
2000000,250000,1,16.4217,0
2000000,250000,1,16.4621,0
2000000,250000,1,16.5188,0
2000000,250000,1,16.6137,0
2000000,250000,1,16.2631,0
2000000,250000,1,16.3788,0
2000000,250000,1,15.9039,0
2000000,250000,1,16.6899,0
2000000,250000,1,24.3198,0
2000000,250000,1,16.2162,0
2000000,250000,1,16.5806,0
2000000,250000,1,16.5718,0
2000000,250000,1,16.7801,0
2000000,250000,1,16.3773,0
2000000,250000,1,16.4826,0
2000000,250000,1,16.2419,0
2000000,250000,1,16.5923,0
2000000,250000,1,16.6751,0
2000000,250000,1,16.4644,0
2000000,250000,1,16.4145,0
2000000,250000,1,16.2157,0
2000000,250000,1,16.5423,0
2000000,250000,1,16.6093,0
2000000,250000,1,16.5679,0
2000000,250000,1,17.0267,0
2000000,250000,1,16.5605,0
2000000,250000,1,16.3953,0
2000000,250000,1,16.3597,0
2000000,250000,1,16.1932,0
2000000,250000,1,16.5636,0
2000000,250000,1,16.4079,0
2000000,250000,1,16.2845,0
2000000,250000,1,16.0945,0
2000000,250000,1,16.597,0
2000000,250000,1,16.8025,0
2000000,250000,1,16.2947,0
2000000,250000,1,16.4058,0
2000000,250000,1,16.3338,0
2000000,250000,1,16.5254,0
2000000,250000,1,16.2451,0
2000000,250000,1,16.3831,0
2000000,250000,1,16.4372,0
2000000,250000,1,16.3859,0
2000000,250000,1,16.4091,0
2000000,250000,1,16.3328,0
2000000,250000,1,16.3643,0
2000000,250000,1,16.3758,0
2000000,250000,1,16.5655,0
2000000,250000,1,16.5224,0
2000000,250000,1,16.4606,0
2000000,250000,1,16.0878,0
2000000,250000,1,16.4209,0
2000000,250000,1,16.5129,0
2000000,250000,1,16.2788,0
2000000,250000,1,16.2457,0
