vertices,cubes,threads,frame,updateVBO
2000000,250000,1,32.5062,20.3916
2000000,250000,1,33.9062,21.5392
2000000,250000,1,39.385,26.5151
2000000,250000,1,33.948,21.5718
2000000,250000,1,47.6281,27.6088
2000000,250000,1,49.4717,21.7842
2000000,250000,1,49.993,22.6401
2000000,250000,1,49.8066,33.4204
2000000,250000,1,46.696,18.8792
2000000,250000,1,31.8932,19.4081
2000000,250000,1,33.0424,19.92
2000000,250000,1,33.184,20.1107
2000000,250000,1,33.0663,20.0608
2000000,250000,1,33.1027,19.9259
2000000,250000,1,32.7864,19.2799
2000000,250000,1,33.2385,19.3463
2000000,250000,1,33.1245,19.2308
2000000,250000,1,32.9432,20.0186
2000000,250000,1,33.0883,20.3073
2000000,250000,1,33.1379,19.8533
2000000,250000,1,32.8807,19.3475
2000000,250000,1,33.4472,19.469
2000000,250000,1,49.8037,21.7898
2000000,250000,1,32.7556,20.0447
2000000,250000,1,33.4134,20.2804
2000000,250000,1,33.1464,19.9201
2000000,250000,1,33.137,20.1494
2000000,250000,1,33.033,19.9456
2000000,250000,1,33.1808,19.4427
2000000,250000,1,32.9759,18.7642
2000000,250000,1,33.1495,20.2595
2000000,250000,1,33.0264,19.8622
2000000,250000,1,33.1043,20.0111
2000000,250000,1,33.257,18.7915
2000000,250000,1,33.0037,19.2343
2000000,250000,1,33.1096,19.1842
2000000,250000,1,33.0897,19.297
2000000,250000,1,32.9434,19.3503
2000000,250000,1,33.1171,19.8734
2000000,250000,1,32.794,19.3697
2000000,250000,1,33.2542,19.405
2000000,250000,1,32.9753,19.3215
2000000,250000,1,32.5589,19.2434
2000000,250000,1,33.1717,19.796
2000000,250000,1,33.3015,19.5184
2000000,250000,1,33.8976,19.3881
2000000,250000,1,33.1087,19.5345
2000000,250000,1,33.1259,19.4594
2000000,250000,1,32.9918,20.7383
2000000,250000,1,42.1721,19.4887
2000000,250000,1,32.9194,19.5658
2000000,250000,1,33.0047,19.3873
2000000,250000,1,33.3138,19.6738
2000000,250000,1,33.2141,19.4019
2000000,250000,1,33.1318,19.3655
2000000,250000,1,33.0019,18.6782
2000000,250000,1,32.9905,18.8108
2000000,250000,1,33.2348,19.6994
2000000,250000,1,33.0473,19.6349
2000000,250000,1,33.1369,19.5471
2000000,250000,1,33.2082,19.0637
2000000,250000,1,33.0424,19.4659
2000000,250000,1,33.1235,19.3319
2000000,250000,1,33.2101,19.5788
2000000,250000,1,33.1101,19.3769
2000000,250000,1,33.0028,19.6278
2000000,250000,1,32.9635,18.5297
2000000,250000,1,33.2947,19.2758
2000000,250000,1,32.6515,19.3384
2000000,250000,1,33.4145,19.7969
2000000,250000,1,33.1063,20.4979
2000000,250000,1,33.1344,19.0177
2000000,250000,1,33.2271,19.44
2000000,250000,1,33.0285,18.8805
2000000,250000,1,33.1891,19.6468
2000000,250000,1,33.0695,19.4655
2000000,250000,1,33.0051,18.5887
