vertices,cubes,threads,frame,updateVBO
320000,40000,1,7.86782,3.87139
320000,40000,1,8.98785,5.26448
320000,40000,1,6.42187,3.87432
320000,40000,1,6.56208,3.92391
320000,40000,1,6.51852,3.76068
320000,40000,1,6.58453,3.68852
320000,40000,1,5.78896,3.49753
320000,40000,1,7.59282,3.88026
320000,40000,1,7.59648,3.61594
320000,40000,1,14.1368,11.2514
320000,40000,1,10.0771,7.06597
320000,40000,1,7.29495,4.33652
320000,40000,1,7.16813,4.02485
320000,40000,1,7.06473,4.15236
320000,40000,1,21.5632,3.80756
320000,40000,1,9.05016,6.31081
320000,40000,1,7.14429,4.43635
320000,40000,1,7.09864,4.04235
320000,40000,1,25.7661,6.22451
320000,40000,1,15.9707,7.11244
320000,40000,1,16.323,7.10016
320000,40000,1,16.3252,7.40853
320000,40000,1,16.2237,7.0887
320000,40000,1,16.591,8.3626
320000,40000,1,16.3179,7.3615
320000,40000,1,16.4523,6.80081
320000,40000,1,15.7613,7.37104
320000,40000,1,15.0984,3.9252
320000,40000,1,14.7925,4.26598
320000,40000,1,16.1168,5.33528
320000,40000,1,16.402,4.7613
320000,40000,1,16.306,5.06624
320000,40000,1,16.3342,4.37839
320000,40000,1,16.3277,4.49624
320000,40000,1,16.5654,5.00996
320000,40000,1,16.2585,4.78327
320000,40000,1,16.5139,4.7902
320000,40000,1,16.3433,4.8078
320000,40000,1,16.2705,4.77594
320000,40000,1,16.4729,4.64532
320000,40000,1,15.4898,4.81843
320000,40000,1,16.455,4.02842
320000,40000,1,17.225,4.21377
320000,40000,1,16.3426,4.76883
320000,40000,1,16.0664,4.75777
320000,40000,1,16.5454,5.09542
320000,40000,1,16.3958,4.78252
320000,40000,1,16.3894,4.64655
320000,40000,1,16.345,4.75151
320000,40000,1,16.4895,4.8608
320000,40000,1,16.2087,4.78102
320000,40000,1,16.4674,4.31142
320000,40000,1,16.1704,4.70982
320000,40000,1,16.6143,4.07721
320000,40000,1,16.3466,4.76921
320000,40000,1,16.5177,4.85916
320000,40000,1,16.1634,4.30927
320000,40000,1,16.5404,4.84563
320000,40000,1,16.1237,4.8579
320000,40000,1,16.6701,5.05654
320000,40000,1,16.3102,4.7401
320000,40000,1,16.3825,4.79784
320000,40000,1,16.3336,4.84162
320000,40000,1,16.4884,4.47574
320000,40000,1,16.4401,4.76348
320000,40000,1,16.2959,4.86111
320000,40000,1,21.6835,4.71677
320000,40000,1,16.5444,4.54575
320000,40000,1,16.369,4.44595
320000,40000,1,16.2213,4.48952
320000,40000,1,16.463,4.5083
320000,40000,1,16.1224,4.55453
320000,40000,1,16.3762,4.35378
320000,40000,1,16.3322,4.64275
320000,40000,1,16.1541,4.2294
320000,40000,1,16.1787,4.67657
320000,40000,1,16.3561,4.60553
320000,40000,1,16.4612,4.76691
320000,40000,1,16.3837,4.74512
320000,40000,1,16.3312,4.76682
320000,40000,1,16.3752,4.75447
320000,40000,1,16.4604,4.8112
320000,40000,1,16.2098,4.79259
320000,40000,1,16.4723,4.49109
320000,40000,1,16.3437,4.75841
320000,40000,1,16.3702,4.79442
320000,40000,1,16.3937,4.82343
320000,40000,1,16.3952,4.85669
320000,40000,1,16.2893,4.87374
320000,40000,1,16.3188,4.76117
320000,40000,1,16.3104,4.78176
320000,40000,1,16.3646,4.73526
320000,40000,1,16.3822,4.7702
320000,40000,1,16.2058,4.80486
320000,40000,1,16.4238,4.46106
320000,40000,1,16.4718,4.93461
320000,40000,1,16.4104,4.86441
320000,40000,1,16.4418,4.77154
320000,40000,1,16.2033,4.76934
320000,40000,1,16.2958,4.83211
320000,40000,1,16.4397,4.80824
