vertices,cubes,threads,frame,updateVBO
80000,10000,4,30.2541,6.36575
80000,10000,4,11.5473,6.8248
80000,10000,4,16.1053,9.65003
80000,10000,4,14.7681,7.75736
80000,10000,4,12.3412,7.458
80000,10000,4,13.7617,10.1989
80000,10000,4,18.7109,10.2487
80000,10000,4,17.4244,8.94352
80000,10000,4,16.6246,7.54439
80000,10000,4,19.2138,7.51598
80000,10000,4,14.4186,6.21692
80000,10000,4,16.0391,7.27984
80000,10000,4,16.1548,7.92102
80000,10000,4,16.5233,6.9028
80000,10000,4,16.8682,7.1558
80000,10000,4,17.0956,7.34776
80000,10000,4,16.0358,8.21579
80000,10000,4,16.904,6.99594
80000,10000,4,15.5248,7.27185
80000,10000,4,15.5908,10.4006
80000,10000,4,12.9932,6.62042
80000,10000,4,13.7699,7.36951
80000,10000,4,15.2068,8.14779
80000,10000,4,16.5124,7.05242
80000,10000,4,15.3791,8.05678
80000,10000,4,15.4261,6.76942
80000,10000,4,15.0233,6.57673
80000,10000,4,15.3622,6.50682
80000,10000,4,15.0161,6.59398
80000,10000,4,15.0413,7.2309
80000,10000,4,15.6314,6.61842
80000,10000,4,15.4411,6.56349
80000,10000,4,15.9188,6.69864
80000,10000,4,14.8142,6.45484
80000,10000,4,14.3952,7.43782
80000,10000,4,15.1037,7.40331
80000,10000,4,15.0909,6.88937
80000,10000,4,14.7654,6.23873
80000,10000,4,14.6987,7.04022
80000,10000,4,16.5137,7.7443
80000,10000,4,14.7335,7.27684
80000,10000,4,15.4602,6.2625
80000,10000,4,14.2149,6.36325
80000,10000,4,17.6591,7.67946
80000,10000,4,14.2502,7.7473
80000,10000,4,15.4702,7.1328
80000,10000,4,14.7764,8.94178
80000,10000,4,14.6047,6.76611
80000,10000,4,15.1392,9.91246
80000,10000,4,13.4455,6.82122
80000,10000,4,16.5676,6.47839
80000,10000,4,17.3488,6.57671
80000,10000,4,15.2965,7.35047
80000,10000,4,17.5802,7.43822
80000,10000,4,14.9432,7.23488
80000,10000,4,18.1069,6.71435
80000,10000,4,15.8453,6.65588
80000,10000,4,16.2443,8.09433
80000,10000,4,16.3922,7.27483
80000,10000,4,15.2102,7.76605
80000,10000,4,15.2021,6.42779
80000,10000,4,16.1248,7.56636
80000,10000,4,14.8636,7.4642
80000,10000,4,14.1865,7.25269
80000,10000,4,15.8415,6.66067
80000,10000,4,15.5205,6.81445
80000,10000,4,15.1386,7.0599
80000,10000,4,16.6395,7.28268
80000,10000,4,14.0033,7.00916
80000,10000,4,18.5739,6.6783
80000,10000,4,13.8949,6.99178
80000,10000,4,15.2165,7.65834
80000,10000,4,15.479,7.0313
80000,10000,4,15.6319,6.98417
80000,10000,4,15.1817,6.42782
80000,10000,4,15.152,8.06318
